"region","dealer_code","dealer_name","channel_name","case_id","description","created_on","created_by","updated_on","updated_by","reason_code","case_owner","status","case_sub_type_id","case_closure_date","escalation_level"
"CENTRAL 1","12268 - NEE","MAGIC AUTO PVT LTD","Nexa","B9847282675","Customer is unable to login in Suzuki connect application. As checked enrolment is pending. Inform customer for the same & also inform that enrolment will be done at dealership only. And after complete the  enrolment process customer has to drive the  vehicle for the activation. After that customer able to login in Suzuki connect application. So asked customer for dealership details & Customer shared the same. 
customer wants to used that number for Suzuki connect 9711217394 so please enrolled that number.","2026-06-22 11:17:05.602617","81107380@maruticrm.onmicrosoft.com","2026-06-22 11:17:05.602617","81107380@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"NORTH 3","14789 - HGF","ARBIT AUTOMOBILES PVT LTD","Nexa","B8517498641","Customer gave his vehicle for repairing  on 17th or 18th May but yet his vehicle didn't deliver and they didn't update anything to customer and also they didn't pick his calls and not showing any hierarchy on CRM so i have shared Dealer's no. hence raise query .","2026-06-22 11:16:58.500257","1154587@maruticrm.onmicrosoft.com","2026-06-22 11:16:58.500257","1154587@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 3","12953 - NRA","VIPUL MOTORS PVT. LTD.","Arena","B6091403349","Customer issue regarding unresolved abnormal noise and repeated misdiagnosis. The customer, Amit Kumar Meena, reports that a Maruti Suzuki Brezza with registration number RJ29CB6467 produces an abnormal noise while driving at approximately 80 km/h. The synopsis sums up multiple failed repair attempts at VIPUL Motors, Lalsot, including an ineffective suspension arm bush replacement costing Rs. 2,296 on 18 June 2026, conflicting technical advice regarding tyres and wheel bearings, and a formal request for a senior technical expert inspection to identify the root cause.
","2026-06-22 11:16:55.094216","81115534@maruticrm.onmicrosoft.com","2026-06-22 11:16:55.094216","81115534@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"EAST 1","10136 - JPT","BHANDARI AUTOMOBILES PVT LTD","Arena","B7941586607","The customer  car in the workshop and its parts are not available. The customer who wants half the engine is very upset and has already talked to the dealership but is not getting any resolution.
","2026-06-22 11:16:42.977606","984335@maruticrm.onmicrosoft.com","2026-06-22 11:16:42.977606","984335@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 4","10787 - TIK","COMPETENT AUTOMOBILES CO. LTD.","Arena","B5299902439","The customer called to report an issue after their recent car service. Just one day after the servicing was done the glass of the right side window broke. The customer is calling to check why this happened and wants support regarding this damaged window glass. so CCM no shared to the customer for the further assistance ","2026-06-22 11:16:38.889084","81114047@maruticrm.onmicrosoft.com","2026-06-22 11:16:38.889084","81114047@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 3","10355 - LUC","BRIGHT 4 WHEEL SALES PVT. LTD.","Arena","B7210309660","""The customer is extremely worried and upset because they brought their vehicle to the service station regarding an issue with the AC cooling coil, but the staff refused to process it under warranty. Instead, they are now charging the customer ₹20,000 to ₹22,000 for the repair. Please look into this immediately and resolve the issue.""","2026-06-22 11:15:23.972763","1154261@maruticrm.onmicrosoft.com","2026-06-22 11:15:23.972763","1154261@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 3","13298 - GOJ","Auric Motors Pvt Ltd","Arena","B0188909669"," customer stated that they brought their vehicle to the workshop for service. However, they noticed that the oil being used for their car is stored in a drum. The customer has concerns regarding its quality and authenticity, doubting whether the oil is genuine or not. Despite this, the workshop is insisting that they will use this specific oil only. Consequently, the customer wants a clarification from the Maruti team regarding this matter.","2026-06-22 11:15:18.679858","1158006@maruticrm.onmicrosoft.com","2026-06-22 11:15:18.679858","1158006@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"WEST 2","10095 - MBH","MY CAR (PUNE) PVT. LTD.","Arena","B5929223765","The customer stated that they visited the service centre to get their car inspected, but the workshop officials are refusing to take it for a long test drive. While they are taking a short test drive, the customer insisted on a long test drive because the suspension has become very stiff, and the issue cannot be properly diagnosed on a short drive. The FCR was pitched to the customer, and the contact number of the CCM has been shared with the customer.","2026-06-22 11:14:13.346941","81113792@maruticrm.onmicrosoft.com","2026-06-22 11:14:13.346941","81113792@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 1","15831 - SUP","ATELIER AUTOMOBILES","Arena","B1757277276","The customer booked a Swift car, and its delivery is scheduled for today. Although the customer has been waiting for a long time, they have not received the vehicle delivery yet. Consequently, the Quality Control Manager's contact number was shared with the customer to help resolve their problem.","2026-06-22 11:12:42.164201","1154197@maruticrm.onmicrosoft.com","2026-06-22 11:12:42.164201","1154197@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"SOUTH 3","13037 - TRV","INDUS MOTOR CO PVT LTD","Nexa","B7462661017","Customer voc:- I would like to clarify that it was I who explained the issue in detail to your staff, not the other way around. In fact, the photographs attached and shared with your team were also provided by me.
You mentioned that the vehicle is in running condition. However, the cabin air filter has been removed due to rat infestation and contamination. As a result, whenever the AC is operated in fresh air mode (non-recirculation mode), dust and pollutants from outside enter directly into the cabin, affecting the vehicle's usability and passenger comfort.
My primary concern is the contradictory and misleading information provided by your Service Advisor, Mr. Nandhu. He informed me that the required parts would be ordered on 10 June 2026. Subsequently, on 16 June 2026, he again requested my vehicle registration details, raising serious concerns about whether the parts had actually been ordered in the first place.
When I followed up regarding the expected delivery timeline, I was informed that he was unavailable due to leave/training, which was also communicated through a WhatsApp voice note. However, after I escalated the matter, Mr. Nandhu contacted me again via WhatsApp and provided a completely different explanation, stating that he was in hospital and his phone was switched off. Such inconsistent statements are highly unprofessional and create serious doubts regarding the transparency and credibility of the information being provided to customers.
Before placing the blame on the customer, I request that you verify the facts internally with your staff. I have preserved the complete WhatsApp chat history, screenshots, call records, and voice notes, which clearly establish the sequence of events and the information communicated to me.
The issue here is not merely the delay in parts replacement, but the repeated misinformation, lack of accountability, and poor customer handling. I request your immediate intervention and a clear written update regarding:
Whether the parts were actually ordered and on what date.
The expected date of arrival of the parts.
The reason for the contradictory explanations provided by the Service Advisor.
The action being taken to prevent such incidents from recurring.=================Synopsis:- The customer having concern regarding the dispute arises from a customer's escalating frustration over delayed vehicle repairs, inconsistent communication, and perceived dishonesty by a Service Advisor, Mr. Nandhu. The customer emphasizes that they personally detailed the issue and provided photographic evidence of a rat-infested, contaminated cabin air filter, which currently compromises passenger safety by allowing dust and pollutants directly into the vehicle. The core of the concern focuses on misleading timelines and contradictory excuses; the advisor claimed parts were ordered on 10 June 2026, but requested vehicle registration details again on 16 June, later offering conflicting explanations for his unavailability, ranging from official training to hospitalization. Backed by preserved communication records, the customer rejects any shifting of blame, characterizes the dealership’s handling as unprofessional and non-transparent, and demands immediate written clarification regarding the actual parts order status, realistic delivery timelines, and internal accountability measures . Customer's vehicle is covered under a valid 3-year CCP plan. Workshop has returned vehicle to customer stating that parts are unavailable and will replace it once parts are available. Furthermore, the Service Advisor irresponsibly refused to share the specific date the part order was placed. Hence he is seeking MSIL assistance in this matter.","2026-06-22 11:12:40.207727","81109570@maruticrm.onmicrosoft.com","2026-06-22 11:12:40.207727","81109570@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"CENTRAL 1","12454 - DIE","MAGIC AUTO PVT LTD","Arena","B7622264252","Customer states that he was receiving regular calls from the service center urging him to get his vehicle serviced. He had told them that he would get it done himself when the time came. However, the service center opened a job card without the customer actually visiting the facility. The customer is now asking why they did this to him.
Resolution - I have informed the customer that i has shared your concern with the team, our team will coordinate with you as soon as possible./WM number share
","2026-06-22 11:12:01.53295","1170305@maruticrm.onmicrosoft.com","2026-06-22 11:12:01.53295","1170305@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 1","15127 - KPN","SHASHTI CAR PRIVATE LIMITED","Nexa","B1399599553","The customer's concern is that he visited the workshop for his vehicle's servicing, but the staff informed him that his third free services have expired and only paid servicing is available. I explained the parameters of the third free servicing to the customer, which are either 10,000 km or 6 months whichever comes first. I further clarified that his free service might have lapsed because these parameters were breached. Additionally, since the contact number of any higher authority was not available on the CRM, I could not share any number with him and I registered his query on repeat. ","2026-06-22 11:11:15.413172","81113798@maruticrm.onmicrosoft.com","2026-06-22 11:11:15.413172","81113798@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"CENTRAL 3","14354 - RDI","SUWALKA MOTORS PVT. LTD.","Arena","B1769904621","The customer's vehicle is currently at the workshop for repairs, but the process is delayed due to the unavailability of spare parts. The customer is demanding that the parts be made available so the repair can be completed and the car delivered as soon as possible. Hence query has been raised and shared CCM Number.","2026-06-22 11:10:50.677132","81110974@maruticrm.onmicrosoft.com","2026-06-22 11:10:50.677132","81110974@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 3","12704 - GUQ","PREM MOTORS PVT. LTD.","Arena","B0534527203","Customer owns swift his concern that hey are suggesting that the spark plug of our newly bought swift vxi(o) RJ 60 CC 9120 are short which results in lower average …it is only 45000kms only an they guys are saying you need to replace them and also you have to purchase the spark plugs the vehicle is still in the warranty period but they are making us fool . When he told them that it is cover under warranty then they are starting making excuses yes we know but he don't have the spark plugs in stock the have to go to Jaipur in order to make it done in the warranty…what is this you want us to purchase vehicle from your dealership and for service you guys want us to visit jaipur. He need urgent solution for his concern.","2026-06-22 11:09:29.64689","81113856@maruticrm.onmicrosoft.com","2026-06-22 11:09:29.64689","81113856@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 3","10246 - BDV","DEV MOTOR PVT LTD","Arena","B2643795696","customer stated that they had dropped off their vehicle at the workshop for repairs, but the vehicle is now producing excessive vibration and noise. According to the customer, these sound issues were not present before the servicing was done. They are raising a concern regarding the post-service quality","2026-06-22 11:09:11.560037","1153945@maruticrm.onmicrosoft.com","2026-06-22 11:09:11.560037","1153945@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","10059 - PGN","PASCO AUTOMOBILES","Arena","B5653819260","""The customer stated that their car was delivered after working hours to another person instead of them. They called the General Manager but received no update. Since the customer requested the contact details of a senior official, I provided them with the Regional Office (RO) number and requested that they contact them regarding the matter.""","2026-06-22 11:08:40.789745","1154246@maruticrm.onmicrosoft.com","2026-06-22 11:08:40.789745","1154246@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"WEST 2","10285 - HIN","SAI SERVICE PRIVATE LIMITED","Arena","B1890174745","customer called to ask if they can fill or use something like a CVV in their CNG car. I informed them that only the workshop can provide this information as we do not have it. I assured them that the workshop will coordinate with them as soon as possible to assist","2026-06-22 11:07:53.866809","81122553@maruticrm.onmicrosoft.com","2026-06-22 11:07:53.866809","81122553@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"WEST 1","12562 - NAV","SAI AUTOMOBILES","Nexa","B7399252298","The customer wanted to book a service for their vehicle. Based on their request the vehicle service has been successfully booked at the service station.","2026-06-22 11:07:19.94934","81122568@maruticrm.onmicrosoft.com","2026-06-22 11:07:19.94934","81122568@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","10076 - MMA","VIPUL MOTORS PVT. LTD.","Arena","B0067640805","Customer had serviced his vehicle yesterday and according to customer workshop's person misbehave with him so i have shared CCM no. through SMS hence raise query .","2026-06-22 11:07:13.549406","1154587@maruticrm.onmicrosoft.com","2026-06-22 11:07:13.549406","1154587@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 2","10289 - CRD","C M AUTO SALES PVT. LTD.","Nexa","B0698824546","The customer got body repair and panel repainting work done on their vehicle. They claim that the newly applied paint is a major color mismatch compared to the vehicle's original factory color, and the paint quality used is extremely poor. Furthermore, the customer reported that whenever they try to discuss this issue with the senior authorities at the workshop, the staff dismisses them and laughs at them. The customer is deeply insulted, highly aggrieved, and is demanding an immediate corporate resolution","2026-06-22 11:06:30.44738","81111267@maruticrm.onmicrosoft.com","2026-06-22 11:06:30.44738","81111267@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","12839 - NID","MOTORCRAFT SALES PVT. LTD.","Nexa","B9287581786","The customer stated that they submitted their car to the workshop two months ago regarding an AC issue, and the car has since been delivered back to them. However, the customer's current concern is that the AC assembly part is not available at the workshop, which is causing a delay. Furthermore, they are not receiving any updates from the workshop. The customer is saying that he need a resolution to this issue as soon as possible. Hence query has been raised and shared CCM and WM Number.","2026-06-22 11:05:53.112525","81110974@maruticrm.onmicrosoft.com","2026-06-22 11:05:53.112525","81110974@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 3","16597 - PR9","SMARTWHEELS PVT LTD","Arena","B4862440990","Customer facing issue that the dealer is taking time to deliver the order because of which the repairing is taking too much time, please look into the matter and resolve it asap. SMARTWHEELS PVT LTD PLOT NO.881/882,NEAR TVS AGENCY,, SOHRAUNA,KASIA ROAD,PADRAUNA,, SDIST.KUSHINAGAR,UTTAR PRADESH. PIN: 274304 ","2026-06-22 11:05:31.473211","1154261@maruticrm.onmicrosoft.com","2026-06-22 11:05:31.473211","1154261@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 1","12454 - DIE","MAGIC AUTO PVT LTD","Arena","B3382743213","Customer VOC-Hello Sir Kritika Singh this side, my car is Maruti Brezza DL3CDC9245. I want to change the name of nomine and want to know about the additional contact no.s linked with my car.

on 24 May 2026 I received a call from Mr Sonu
SONU SINGH RAJPUT , magic auto, 9528963290 regarding service of my car, Someone has given the car there for servicing without my permission.

I called mr Sonu and Mr. Sujeet Khari, magic auto on that same day and told them that I never given my car for servicing. 

I told them to not hand over my car to anyone else except me. I am the owner and the car has reached you without my knowledge. Also requested to deliver the car on the registered address. Jb 26 A khirki extension Malviya Nagar New Delhi- 110017.

I told them that An FIR no. 0134 on Mr. Amit Kumar and his father mother sister and others was already registered from my side. 

But they had handover the car without my permission. 

Your 'Magic Auto Service' team has made a complete mockery of client privacy, ownership rights, and the like.

Despite my repeated refusals, they handed my car over to someone else. Who is responsible for this now?
I spoke to customer care, sent complaint emails to all the addresses I received from the service centre, and also messaged Mr. Sujeet Khari on WhatsApp, as he had asked me to send the address and other details to him via WhatsApp.
The case is currently pending in court, and the car is being used by someone else. I want the nominee's name and the additional mobile number removed from the records as soon as possible.

My father, Mr. Vijay Pal Singh, will be the new nominee.

For any service-related matters or queries, only my mobile number—9599376409—should remain linked. Your customer care representative disconnected the call after refusing to explain the procedure for changing the nominee's name.
I'm sorry, but if I don't get my car back, which has been given to someone else from your service center, then I will have to take legal action against you guys as well. I am attaching call records, WhatsApp chats, and a copy of my previous complaint to this email. -------------------------------------------------------------------------------------------------------------------------------------SYNOPSIS-The customer, Kritika Singh (+919599376409), is lodging a severe complaint against Magic Auto Service regarding her Maruti Brezza (DL3CDC9245) for breaching ownership rights and customer privacy. On May 24, 2026, the dealership accepted her vehicle for servicing from an unauthorized individual without her permission. Despite the customer immediately calling the service staff (Mr. Sonu and Mr. Sujeet Khari) to notify them of an active FIR (No. 0134) against the unauthorized driver and instructing them to only deliver the vehicle to her registered Malviya Nagar address, the workshop handed the car back to the unauthorized third party. Because the vehicle is tied up in a pending court case and is now wrongfully in someone else's possession, the customer is threatening immediate legal action against the dealership. Additionally, she demands the urgent removal of all unauthorized secondary contact numbers and requests her father, Mr. Vijay Pal Singh, to be updated as the sole nominee on all official records.","2026-06-22 11:04:15.609055","81109915@maruticrm.onmicrosoft.com","2026-06-22 11:04:15.609055","81109915@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 2","10977 - RHC","HINDUSTAN AUTO AGENCY","Arena","B7771853896","The customer called to report a recurring defect following their vehicle's servicing yesterday. The customer had specifically reported a severe smoke/burning issue emitting from the silencer. Although the workshop assured them that the problem was completely resolved during service, the exact same issue reoccurred today. The customer is highly dissatisfied with the poor repair quality and wishes to log a issue against the workshop, demanding a callback to explain the warranty terms on the repair and ensure proper rectification.","2026-06-22 11:03:41.811668","81122780@maruticrm.onmicrosoft.com","2026-06-22 11:03:41.811668","81122780@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 1","15056 - RLP","RADHAGOVIND AUTOMOBILES","Nexa","B2694976379","I didnt get any solution from you and from radhagovindham automobiles meerut. In my vehicle history still showing that i serviced my car from radhagovind. I did not service my second service yet. If it is not resolved i will go for legal action

================================================================================================================

Query:Customer is reporting a significant error in the official service records of their Maruti Suzuki Baleno (registration number KL 76 G 1147). After purchasing the vehicle in March and completing the first service in April, they received a WhatsApp notification and found records on the Maruti Suzuki mobile app indicating that their vehicle had completed its second free service at Radhagovind Automobiles in Meerut under job card number JC26000185. This entry is incorrect, as the customer has never visited Uttar Pradesh for vehicle maintenance, and the record appears to be a clerical error or system glitch that erroneously linked their registration number to another vehicle's service history (registration number UP 15 FC 7740). Despite contacting the concerned dealership directly, the customer received no professional follow-up or resolution. With their legitimate second service interval approaching, the customer has provided supporting app screenshots and is requesting an urgent investigation to remove the false entry, correct their vehicle profile, and ensure their warranty and future maintenance schedules are not negatively impacted.


","2026-06-22 11:03:21.281725","81111279@maruticrm.onmicrosoft.com","2026-06-22 11:03:21.281725","81111279@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"EAST 1","13274 - KOQ","JYOTE MOTORS (BENGAL) PVT. LTD.","Nexa","B6118747212","The customer, Mr. Ashish Mundhra, has registered a severe complaint against Nexa and Jyote Motors, Kolkata, regarding negligent servicing of his Grand Vitara, registration number WB08R 2001. During a recent service, the workshop technicians used a pneumatic machine to overtighten the spare tyre (stepny) screw. Consequently, when the customer faced a flat tyre emergency in a crowded city area during heavy rain, it was impossible to release the spare tyre manually. Even Maruti’s emergency roadside assistance team arrived and confirmed that the screw was machine-tightened beyond normal capacity.As a direct result of this service blunder, the customer was stranded in the rain for four hours, suffered a loss of working time, and was forced to pay extra out-of-pocket expenses for both the emergency service and a towing truck. Furthermore, the vehicle sustained a physical dent during the towing process. The customer expresses deep disappointment with Nexa's premium standards, stating that even unauthorised garages do not commit such careless mistakes, and demands immediate accountability for the financial loss and vehicle damage.","2026-06-22 11:03:09.975698","81111280@maruticrm.onmicrosoft.com","2026-06-22 11:03:09.975698","81111280@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 2","10089 - SBL","M/S ODYSSEY MOTORS","Arena","B3838811356","Customer gave his vehicle for Bodyshop repair on 9th June and his vehicle didn't deliver and they didn't update anything to customer so i have shared GM no. through SMS hence raise query . ","2026-06-22 11:02:45.06712","1154587@maruticrm.onmicrosoft.com","2026-06-22 11:02:45.06712","1154587@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 1","17103 - RSK","SHAKUMBARI AUTOWHEELS PVT. LTD","Nexa","B6957925685","Customer wants WS details. ","2026-06-22 11:01:50.496931","1157608@maruticrm.onmicrosoft.com","2026-06-22 11:01:50.496931","1157608@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 4","15266 - TCK","STANDARD MOTOCORP PRIVATE LIMITED","Nexa","B5041862179","The customer paid ₹12,000 on June 11th, but the car service was not fully completed. Although the customer was assured that the remaining service work would be done later, the service has still not been finished. The customer has called 50 times but received no response; they are being misled, and no service report has been provided to them. Consequently, this query has been raised.","2026-06-22 11:01:19.423071","1158007@maruticrm.onmicrosoft.com","2026-06-22 11:01:19.423071","1158007@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 2","11650 - BTR","PREMSONS MOTOR UDYOG PVT. LTD.","Arena","B5840068498","Customer is facing issue where he is not able to check the latest update on the application so asked for the screenshot of the application.","2026-06-22 11:01:10.407826","81105390@maruticrm.onmicrosoft.com","2026-06-22 11:01:10.407826","81105390@maruticrm.onmicrosoft.com","OPEN","Query-Suzuki Connect-Gen 2","OPEN","1",NULL,NULL
"EAST 1","13184 - CRE","BEEKAY AUTO PVT. LTD.","Nexa","B0403196608","The customer, a loyal Maruti Suzuki owner of over eight years, is experiencing severe reliability issues with their newly purchased Grand Vitara Zeta Optional (Engine No: K15CN7968986), acquired on May 21, 2026, from NEXA Bhandari, Bankura. Within less than a month of ownership, the vehicle has required service three times for major faults. On day one, the vehicle displayed a ""START SYSTEM MALFUNCTION"" error that kept the MID display running post-ignition shutdown, which was temporarily patched as a software glitch by the Durgapur service team. Following a 1,200 km drive, the vehicle underwent its first free service on May 28 at Beekay NEXA, Asansol, where technicians reportedly topped up the vehicle with expired coolant—a serious quality control oversight flagged by the owner. After sitting parked until June 14, the vehicle suffered a complete electrical blackout; it failed to respond to the key fob, and upon manual entry, showed zero signs of life with no lights or MID functionality. The vehicle is currently back at Beekay NEXA, Asansol for investigation. Given the vehicle's age and the recurring nature of these electrical and service quality issues, immediate intervention from Maruti Suzuki’s technical experts is urgently requested to permanently resolve these defects and restore the customer's confidence in the brand. Kindly look into this matter.","2026-06-22 11:00:44.556518","81115533@maruticrm.onmicrosoft.com","2026-06-22 11:00:44.556518","81115533@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"WEST 1","15605 - TAE","VELOX MOTORS PVT LTD","Arena","B3952289914","Need WS NUmber","2026-06-22 10:59:52.464367","1069628@maruticrm.onmicrosoft.com","2026-06-22 10:59:52.464367","1069628@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","12539 - RER","DINCO 4 WHEELS LLP (AUTO VIBES)","Arena","B6584261969","As per, the telephonic conversation with the customer he complained about bad service at the workshop after his car accident. He stated that a staff member named Lalman was rude and repeatedly asked him who caused the accident, which made him uncomfortable. Additionally, the customer got to know from his insurance company that the workshop did not send them the initial repair estimate on time and also accurate estimate was not sent to them. workshop was originally estimated the repair would cost 1,60,000 but the workshop later increased the final bill to 2,46,000 without telling him. The workshop is now demanding that the customer pay the difference of 86,000 out of his own pocket, which has caused a major disagreement.because customer has zero debt insurance so he does not wants to pay the additional amount","2026-06-22 10:59:50.727929","81110966@maruticrm.onmicrosoft.com","2026-06-22 10:59:50.727929","81110966@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"NORTH 4","11720 - RHU","GOYAL MOTORS PVT LTD","Nexa","B7519169725","The customer states that they had their vehicle serviced and repaired at the workshop. Along with the service, they had also ordered a windshield glass replacement through the dealership. However, no update has been provided to them regarding its status or arrival. Consequently, a case has been registered regarding this inventory delay, and the Customer Care Manager's contact number has been shared with the customer to ensure the required parts are made available and fit as quickly as possible.","2026-06-22 10:59:31.948996","1158162@maruticrm.onmicrosoft.com","2026-06-22 10:59:31.948996","1158162@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"WEST 3","50295 - VVD","PERFECT AUTO SERVICES","True Value","B8629941053","Customer want to sell the Mahindra XUV so i provide the dealer number to the customer ","2026-06-22 10:59:17.50716","1153962@maruticrm.onmicrosoft.com","2026-06-22 10:59:17.50716","1153962@maruticrm.onmicrosoft.com","OPEN","Query-True Value","OPEN","1",NULL,NULL
"NORTH 4","13886 - SOT","JAGMOHAN AUTOMOTIVE PVT.LTD.","Nexa","B0264628054","Customer called regarding service related issue, after car service staff not fixed the bottom cover like part , due to same there is gape in car bottom body , customer informed same to workshop but there is no response from there end , Customer satisfied with FCR hence query raised.","2026-06-22 10:59:08.893236","81113790@maruticrm.onmicrosoft.com","2026-06-22 10:59:08.893236","81113790@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 3","16275 - JN8","BRIGHT 4 WHEEL SALES PRAYAGRAJ PVT. LTD.","Arena","B5726173978","""The customer stated that they visited the workshop, but the staff is refusing to release their car because they do not have the RC. The customer mentioned that they took delivery of the vehicle on 1st May. Upon checking, I found that the standard RC delivery timeline is 75 working days, and I communicated this to the customer. Since the workshop is still refusing to release the vehicle, I have provided the customer with the General Manager's number and requested that they contact them regarding the issue.""","2026-06-22 10:58:22.172977","1154246@maruticrm.onmicrosoft.com","2026-06-22 10:58:22.172977","1154246@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 1","15429 - MHG","SRI JAYARAMA MOTORS PVT LTD","Nexa","B4240942668","Customer VOC:-Dear Nexa ( sri jayarama motors mahabubnagar bhoothpur) 
I am writing to raise a complaint regarding the unreasonable delay in servicing the vehicle, a Maruti baleno bearing registration no TS07HW9185. 
The vehicle was handed over to your authorised service centre on 28th March 2026. The insurance approval for repair work was received within 25 days. 
On following up multiple times with the service centre, I have repeatedly been told that certain parts are pending with no clear timeline provided for resolution. This delay nearly three months is causing me significant inconvenience and financial hardship. 
Kindly escalate the matter and resolve the issue as soon as possible=================Synopsis:-The customer have raise a concern against NEXA Sri Jayarama Motors (Mahabubnagar, Bhoothpur) regarding an unreasonable, nearly three-month delay in completing accident repairs on their Maruti Suzuki Baleno (Registration No. TS07HW9185). Although the vehicle was handed over to the authorized service centre on 28 March 2026 and the insurance company granted work approval within 25 days, the workshop has failed to complete the vehicle due to a persistent backlog of backordered spare parts. The service team continues to offer open-ended extensions without a definitive delivery timeline, causing the customer extreme daily inconvenience and mounting financial hardship. The customer demands immediate corporate escalation to expedite logistics procurement and release the vehicle without further delay.","2026-06-22 10:56:25.242152","1155955@maruticrm.onmicrosoft.com","2026-06-22 10:56:25.242152","1155955@maruticrm.onmicrosoft.com","OPEN","Query-MSGP","OPEN","1",NULL,NULL
"NORTH 2","12522 - PHL","AUTOVOGUE PVT. LTD.","Arena","B8094838884","The customer having concern against Maruti Suzuki Autovogue (Phase-1, Panchkula) regarding unprofessional service and unauthorized repairs on his vehicle (HR65A8085). The vehicle was brought in solely to address a coolant leak causing the engine temperature meter to rise, though it was otherwise running normally. The service center staff failed to conduct a proper inspection or detect the leak initially, incorrectly advising that the engine needed to be opened. They dismantled the engine without providing a written estimate or obtaining the owner's approval, and some staff even inappropriately suggested aftermarket repairs. Ten days later, Mr. Sharma was asked to pay approximately ₹35,000 for a reworked engine and a replaced water pump—the actual source of the leak, which should have been a minor ₹4,000–₹5,000 repair. Due to personal exigencies involving a premature newborn hospitalised at the time, Mr. Sharma paid the bill under duress to secure his vehicle.Where customer is highly dissatisfied with the servicing. Upon delivery, the vehicle exhibited poor fitment and new operational issues. Despite raising the issue with the service manager and filing an official complaint, no satisfactory resolution has been provided, prompting this request for an impartial investigation, employee accountability, and financial compensation. Kindly look into this matter.","2026-06-22 10:55:50.540119","81108043@maruticrm.onmicrosoft.com","2026-06-22 10:55:50.540119","81108043@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"NORTH 2","10210 - HYS","JAMKASH VEHICLEADES (KASHMIR) PVT LTD","Nexa","B1076148681","The customer stated that they purchased seat covers from a Maruti dealership, but there is a problem as the seat covers are emitting a bad smell. The customer wants to replace them. However, the dealership is stating that the customer must first deposit the faulty seat covers at the workshop. Only after that will the replacement covers be ordered and sent from the company.""","2026-06-22 10:53:39.767656","1158006@maruticrm.onmicrosoft.com","2026-06-22 10:53:39.767656","1158006@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
